station_id,lat,lon,date,label,Blue,Green,Red,NIR,SWIR1,SWIR2
03141490,48.988842829,2.072019717,2023-06-05,4.4,0.07796046137809753,0.07079975306987762,0.09722712635993958,0.10758747160434723,0.10018740594387054,0.0844896212220192
03178319,49.592106165,1.499260668,2023-06-05,9.5,0.01305579673498869,0.016117937862873077,0.034387651830911636,0.12462595850229263,0.07384534925222397,0.033436547964811325
03189545,48.61186768,1.688556373,2023-06-06,19.0,0.020183391869068146,0.018722988665103912,0.042652253061532974,0.06202714145183563,0.03833597153425217,0.018572745844721794
03076742,48.695261645,2.292241249,2023-06-06,5.14,0.020575549453496933,0.01647317223250866,0.03892165794968605,0.05949338898062706,0.05151909217238426,0.03524326905608177
03226640,49.124361735,0.336399467,2023-06-06,4.2,0.10347235947847366,0.10845580697059631,0.14695221185684204,0.17692045867443085,0.12494935840368271,0.07461437582969666
03227296,49.174766616,0.169416477,2023-06-06,6.2,0.011611944064497948,0.012690377421677113,0.03231864050030708,0.09855638444423676,0.06386061012744904,0.030356578528881073
03226300,49.105316671,0.216533093,2023-06-06,5.7,0.01890251412987709,0.01878410391509533,0.03685009852051735,0.0989307090640068,0.06760010868310928,0.03571309521794319
03226720,49.128682623,0.25640787,2023-06-06,7.7,0.1259463131427765,0.11058085411787033,0.13106471300125122,0.1594185084104538,0.15258756279945374,0.12177135795354843
03078274,48.671799449,2.833419125,2023-06-06,3.0,0.16079740226268768,0.1443471610546112,0.1649188995361328,0.19496987760066986,0.14570826292037964,0.11169365793466568
03189395,48.582799223,1.602326287,2023-06-06,4.8,0.15915238857269287,0.13751749694347382,0.15825475752353668,0.1881580352783203,0.18669384717941284,0.1466720849275589
03227100,49.16568545,0.273899241,2023-06-06,6.4,0.02089640684425831,0.014714829623699188,0.03495042398571968,0.04968562722206116,0.05464998632669449,0.038358885794878006
03227745,49.256918109,0.371481453,2023-06-06,20.0,0.009363403543829918,0.013761172071099281,0.03242940828204155,0.12770338356494904,0.06695330142974854,0.026958301663398743
03189490,48.59199775,1.731176879,2023-06-06,5.3,0.004753002431243658,0.0040527209639549255,0.027680227532982826,0.033604610711336136,0.01799214817583561,0.00806979276239872
03078832,48.677502663,2.621273269,2023-06-06,1.9,0.0953032523393631,0.08875879645347595,0.11784595251083374,0.14545105397701263,0.10600101202726364,0.07964368164539337
03227010,49.178650144,0.211433224,2023-06-06,4.1,0.011759641580283642,0.014642254449427128,0.033347416669130325,0.09902492165565491,0.06440682709217072,0.029104983434081078
03226000,48.975329116,0.263904534,2023-06-06,8.6,0.009118940681219101,0.011024980805814266,0.03052082471549511,0.1025632694363594,0.06363523751497269,0.02870645746588707
03189975,48.685055537,1.449108399,2023-06-06,6.4,0.19287414848804474,0.1675901561975479,0.18646465241909027,0.22078481316566467,0.20936258137226105,0.15891939401626587
03189675,48.61322645,1.625569321,2023-06-06,9.2,0.02799726277589798,0.02281772531569004,0.041352272033691406,0.10069414228200912,0.0825263038277626,0.04402735084295273
03227725,49.235581372,0.4028809,2023-06-06,6.2,0.011265622451901436,0.01350525114685297,0.03259747847914696,0.10493530333042145,0.06571189314126968,0.028847789391875267
03078385,48.647418444,2.785212599,2023-06-06,3.7,0.08386319875717163,0.07143255323171616,0.09107991307973862,0.1233883649110794,0.10197757929563522,0.08674198389053345
03078510,48.720944937,2.746345507,2023-06-06,5.3,0.1278243362903595,0.11576803028583527,0.14000287652015686,0.16158553957939148,0.12476219981908798,0.10188081115484238
