GLORIA_ID,lat,lon,label,Date_Time_UTC,Water_body_type,Country,Bleu,Vert,Rouge,NIR
GID_635,-33.041444,-57.359444,15.9,2020-01-09T19:12,1,Uruguay,0.0093556859930297,0.0128656118095042,0.0126056628974097,0.0036723864241627
GID_636,-33.069917,-57.438472,16.8,2020-02-18T14:59,1,Uruguay,0.0094676117622929,0.0139992149271281,0.0128532730559575,0.0035739125355072
GID_637,-33.091191,-57.437602,15.3,2020-02-18T15:45,1,Uruguay,0.00804093948946,0.0122379044388486,0.0111541400539257,0.0021647759080971
GID_638,-33.086083,-57.460583,17.5,2020-02-18T16:18,1,Uruguay,0.0139678796643016,0.0220092788604549,0.0214063206728642,0.0058762470814274
GID_639,-33.114722,-57.414972,17.9,2020-02-18T17:55,1,Uruguay,0.0100201099002308,0.0137233570950233,0.0139674278308745,0.0037734801755413
GID_640,-33.084889,-57.411583,29.1,2020-02-18T18:14,1,Uruguay,0.0100266477419434,0.0147363190898242,0.0134299703560668,0.0036148760339373
GID_642,-33.076484,-57.436548,85.3,2020-02-19T15:15,1,Uruguay,0.0126646468569371,0.0299170431646365,0.0147794631936063,0.0174924096100279
GID_643,-33.084445,-57.431007,100.0,2020-02-19T15:30,1,Uruguay,0.0110828558607886,0.029639964460242,0.0130517207615494,0.0209434102721124
GID_644,-33.06625,-57.412083,54.1,2020-02-19T15:56,1,Uruguay,0.0221935227977641,0.0360343736715039,0.025707558869681,0.0232088989734162
GID_645,-33.06625,-57.412083,54.1,2020-02-19T16:06,1,Uruguay,0.0118707355644109,0.0358725776172031,0.0135814822659043,0.0396367764341176
GID_646,-33.090448,-57.322506,24.0,2020-06-16T15:03,1,Uruguay,0.0108541028963916,0.0156195436237806,0.0157708608207525,0.0039710195753508
GID_647,-33.109278,-57.340556,19.0,2020-06-16T15:20,1,Uruguay,0.011674682330072,0.0163137334795075,0.0167946657708482,0.0036747798605523
GID_648,-33.073481,-57.352654,18.0,2020-06-16T16:11,1,Uruguay,0.0112733056915517,0.0161766246558564,0.0160631091164375,0.0040424849889075
GID_649,-33.053556,-57.365472,19.0,2020-06-16T18:11,1,Uruguay,0.0159566088299456,0.0229101570586124,0.0234036093638427,0.0052435712194061
GID_650,-33.046222,-57.378333,18.0,2020-06-16T18:32,1,Uruguay,0.0130445149243694,0.0185404905952927,0.0192507220586897,0.0041551591447332
GID_651,-33.066949,-57.387696,19.0,2020-06-16T18:48,1,Uruguay,0.0094223339739636,0.0135061494166611,0.0135672625623334,0.00315494866494
GID_652,-33.06625,-57.412083,30.0,2020-06-16T19:02,1,Uruguay,0.0114862680407651,0.0167463547262919,0.0163220905819141,0.0041086025081
GID_653,-33.084889,-57.411583,19.0,2020-06-17T14:06,1,Uruguay,0.0135356151411317,0.0175353666548362,0.0176945624644386,0.0060342422232181
GID_654,-33.114722,-57.414972,30.0,2020-06-17T14:23,1,Uruguay,0.0121096788571721,0.0183149730612273,0.0173546307683687,0.0048270087949307
GID_655,-33.115194,-57.455194,19.0,2020-06-17T15:25,1,Uruguay,0.0149982585112501,0.0203384298378279,0.0207832196334415,0.0058413902192852
GID_656,-33.073139,-57.304833,20.0,2020-06-16T14:34,1,Uruguay,0.0119227885576024,0.017657847108733,0.0162675349445165,0.0050985827024477
GID_657,-33.084676,-57.368898,18.0,2020-06-16T16:25,1,Uruguay,0.0115195755982344,0.0166871374288851,0.0159180571260746,0.0042903901604289
GID_658,-33.085,-57.372778,19.0,2020-06-16T16:37,1,Uruguay,0.0088635186119711,0.0187248250436819,0.0114116794873011,0.0175205470455391
GID_659,-33.068014,-57.413335,29.0,2020-06-16T19:12,1,Uruguay,0.0102626608569399,0.0231101487533211,0.0127440158643909,0.0188797751699474
GID_2113,5.06222,-52.1125,2.918,2016-06-22T16:10,3,France,0.00911408,0.0115256,0.0030971,0.00020353
GID_2114,4.936111,-52.188057,19.43,2016-06-22T18:00,3,France,0.0127859,0.022347,0.0143105,0.00126193
GID_2122,4.745,-52.326668,64.68,2016-06-24T12:10,3,France,0.00640498,0.0156721,0.022799,0.00361159
GID_2123,4.76417,-52.3147,84.34,2016-06-24T12:45,3,France,0.00814975,0.0181083,0.0258103,0.00602077
GID_2124,4.84333,-52.2867,133.8,2016-06-24T13:25,3,France,0.00884924,0.019757,0.0284132,0.007753
GID_2125,4.8475,-52.2572,50.41,2016-06-24T13:45,3,France,0.0116951,0.0234475,0.0280722,0.00425191
GID_2126,4.890278,-52.19,107.6,2016-06-24T14:40,3,France,0.0124563,0.0234539,0.026516,0.00602455
GID_2127,4.89694,-52.2136,366.2,2016-06-24T15:10,3,France,0.000411029,0.00164645,0.00404076,0.00475094
GID_2129,4.90944,-52.2283,247.8,2016-06-24T16:10,3,France,0.000508075,0.00191851,0.00452169,0.00539113
GID_2130,4.848889,-52.281666,156.22223,2016-06-24T18:35,3,France,0.00592563,0.0148053,0.0234886,0.00825005
GID_2141,4.871111,-52.13389,15.25,2016-11-04T13:39,3,France,0.0239894,0.0319523,0.0171011,0.00234366
GID_2142,4.8725,-52.129166,10.28,2016-11-04T13:44,3,France,0.0211532,0.027646,0.011317,0.00131881
GID_2143,4.867778,-52.136112,17.35,2016-11-04T13:49,3,France,0.0233496,0.0314365,0.0171992,0.00212829
GID_2144,4.8708334,-52.168335,27.4,2016-11-04T14:06,3,France,0.0221446,0.0312056,0.0204076,0.00328949
GID_2145,4.8744445,-52.176945,16.3,2016-11-04T14:11,3,France,0.0178482,0.0267886,0.0135425,0.0017835
GID_2146,4.930278,-52.06333,3.638,2016-11-27T12:40,3,France,0.0123347,0.0142499,0.00274494,0.000203773
GID_2147,4.958611,-52.033054,2.132,2016-11-27T13:35,3,France,0.00532231,0.00438842,0.000699059,5.89058e-05
GID_2148,4.9283333,-52.07139,4.057,2016-11-27T14:23,3,France,0.0111794,0.0133267,0.00312849,0.000196237
GID_2149,4.8725,-52.10278,7.544,2016-11-27T15:03,3,France,0.0186242,0.0245584,0.00717271,0.000388825
GID_2150,4.8880553,-52.218056,16.65,2016-11-27T15:54,3,France,0.0122929,0.0222426,0.0229465,0.00584603
GID_2151,4.9852777,-52.279167,17.0,2016-11-28T14:29,3,France,0.0136711,0.0227778,0.0100192,0.00073187
GID_2152,4.9430556,-52.24861,38.3,2016-11-28T15:09,3,France,0.0144305,0.0248059,0.0172026,0.00203209
GID_2153,4.959722,-52.158333,5.61,2016-11-29T12:44,3,France,0.0150324,0.0175741,0.00447088,0.000320067
GID_2154,4.96111,-52.190556,30.6,2016-11-29T13:17,3,France,0.0210736,0.0315511,0.0226435,0.00229684
GID_2155,4.9455557,-52.218613,44.18,2016-11-29T13:50,3,France,0.0181809,0.0292285,0.0225098,0.00285431
GID_2156,4.9119444,-52.212223,38.68,2016-11-29T14:26,3,France,0.0171325,0.0282993,0.0221508,0.0027552
GID_2157,4.8966665,-52.203888,51.93,2016-11-29T14:52,3,France,0.012135,0.0218812,0.0174907,0.00189291
GID_2158,4.866389,-52.235832,23.77,2016-11-29T15:29,3,France,0.0131298,0.022463,0.0145331,0.00130386
GID_2159,4.919722,-52.127224,4.539,2016-12-01T12:24,3,France,0.0146793,0.0187787,0.00512492,0.000368782
GID_2160,4.8780556,-52.189724,38.46,2016-12-01T13:59,3,France,0.0147938,0.0247928,0.020102,0.00287945
GID_2161,4.8897223,-52.209446,104.6,2016-12-01T14:31,3,France,0.0101513,0.0191343,0.0204634,0.00524638
GID_2162,4.9038887,-52.211945,38.08,2016-12-01T15:03,3,France,0.0143038,0.0246314,0.020861,0.00314538
GID_2163,4.903611,-52.19472,68.28,2016-12-01T15:33,3,France,0.0126931,0.0227638,0.0208839,0.00379125
GID_2164,4.848611,-52.267776,19.41,2016-12-02T11:38,3,France,0.0142055,0.0232697,0.0137487,0.0010898
GID_2165,4.8816667,-52.17611,21.69,2016-12-02T12:25,3,France,0.0135044,0.0226204,0.0122159,0.00108628
GID_2166,4.9061112,-52.199444,27.37,2016-12-02T13:05,3,France,0.0177614,0.0278991,0.0192039,0.00175416
GID_2167,4.8894444,-52.19278,28.02,2016-12-02T13:32,3,France,0.0174766,0.0277268,0.0204312,0.00218444
GID_2168,4.8880553,-52.211388,172.44444,2016-12-02T14:00,3,France,0.00610018,0.0129606,0.0162749,0.00530732
